TEAM,MATCHUP,T1 3P%,T1 FT%,T2 3P%,T2 FT%,WIN
MIN,MIN VS DEN,39.1,76,40.6,61.1,1
WAS,WAS @ ORL ,29.4,59.3,40.6,81.5,2
LAL,LAL @ LAC,43.6,87.5,33.3,42.9,1
BKN,BKN @ BOS,27.5,75,25,80,2
NYK,NYK @ CLE,44.4,92.3,25,64.3,1
TOR,TOR @ MIA,30,76.2,42.3,65,2
SAS,SAS @ NOP,33.3,84.2,26.3,68.4,2
OKC,OKC vs. MEM,46.5,71.9,41.9,91.7,1
MIL,MIL @ PHI,28,87.5,41.7,73.3,2
SAC,SAC vs. HOU,26.9,65,28.3,66.7,1
UTA,UTA @ POR,34.8,79.2,37.5,68.8,2
CHI,CHI vs. DET,32.4,66.7,42.9,100,2
CHA,CHA @ IND,42.9,75,25.8,62.5,1
ATL,ATL vs. PHI,35.1,69.2,45.9,60,2
DAL,DAL vs. PHX,24.2,68.2,50,71.4,2
BOS,BOS @ WAS,39.4,81.5,50,80,2
LAL,LAL vs. HOU,27.8,86.7,34,93.8,2
GSW,GSW @ UTA,26.3,87.5,37.1,76.9,2
MEM,MEM @ MIN,27.8,90.5,31.8,84.6,2
TOR,TOR @ DET,30.8,100,30,76,1
CHI,CHI @ BKN,42.9,58.3,42.9,93.3,2
SAS,SAS vs. SAC,22.2,82.8,44.4,64.7,1
MIA,MIA vs. OKC,22.7,57.1,40,81.6,2
DEN,DEN vs. POR,23.1,76.9,21.2,72.2,1
NOP,NOP @ LAC,36.7,70,11.8,42.1,1
ORL,ORL @ MIL,20.8,65,34.6,83.3,2
IND,IND @ CHA,36,77.8,36.7,86.7,2
DAL,DAL @ PHI,27.5,46.2,29.6,64.3,2
GSW,GSW @ PHX,40.6,66.7,28.6,75,1
POR,POR @ SAS,39.3,90.9,33.3,71.4,2
HOU,HOU vs. OKC,37.8,69.6,30.3,78.8,2
ORL,ORL vs. CHA,39.1,53.8,54.8,92.3,2
CLE,CLE @ PHI,47.1,72.7,35.9,85.7,2
PHX,PHX vs. SAC,35.3,63.6,40.7,73.9,1
DET,DET @ NYK,41.7,77.3,44.8,83.3,1
UTA,UTA @ MIN,39.3,72,33.3,92.9,1
OKC,OKC @ NOP,29,72,34.4,73.9,1
ATL,ATL vs. PHI,23.1,66.7,21.1,69.2,2
SAC,SAC vs. GSW,28.6,84.2,34.6,75,2
WAS,WAS vs. CHA,46.2,75,26.1,63,1
NYK,NYK vs. CHA,46.2,77.8,27.3,81.3,1
MIA,MIA @ LAL,27.8,71.4,47.4,81.8,1
LAC,LAC @ OKC,42.3,78.3,34.4,81.8,2
BOS,BOS @ ORL,34.6,75,17.9,90.9,1
DET,DET @ DEN,51.9,64.7,42.9,78.6,2
MIN,MIN @ WAS,33.3,89.5,40,76,1
SAS,SAS vs. ORL,47.4,82.6,30.4,100,1
TOR,TOR @ NYK,45.7,88,33.3,79.2,1
IND,IND @ BOS,54.5,90,32.4,81,1
NOP,NOP vs. WAS,30,83.3,34.6,75,2
LAL,LAL @ DEN,40,75,48.4,86.7,2
POR,POR vs. GSW,41,77.8,42.9,83.3,1
DAL,DAL vs. MEM,34.5,85.7,38.9,76.5,1
ORL,ORL @ SAC,31,81.3,36,86.7,2
BKN,BKN @ CHA,34.4,90.9,21.1,83.3,2
